qid	r1	r2	Controversial question
5510	2.5	3.25	FALSE
5521	2.0	4.25	FALSE
5561	4.4	4.6	TRUE
5562	4.266666666666670	4.933333333333330	TRUE
5569	4.4	4.8	TRUE
5570	3.4	4.6	FALSE
5575	4.4	4.8	TRUE
5576	4.2	5.0	TRUE
5618	4.8	5.0	TRUE
5639	3.4	4.0	FALSE
5664	1.6153846153846200	3.923076923076920	FALSE
5669	4.2	4.4	TRUE
5690	3.2	4.2	FALSE
5692	1.6	2.6	FALSE
5716	2.2	3.0	FALSE
5726	1.4	2.0	FALSE
5745	1.6	3.0	FALSE
5748	3.4	4.6	FALSE
5767	2.8	4.0	FALSE
5796	4.4	4.0	TRUE
5813	3.25	3.75	FALSE
5814	3.6	4.2	FALSE
5817	3.75	4.5	FALSE
5856	1.25	1.5	FALSE
5892	1.2	2.0	FALSE
5921	3.2	3.4	FALSE
5934	3.5	3.0	FALSE
5994	4.6	4.8	TRUE
5995	4.4	4.8	TRUE
5999	4.8	4.6	TRUE
6042	1.4	3.0	FALSE
6054	2.0	3.4	FALSE
6061	1.4	2.0	FALSE
6073	2.8	3.8	FALSE
6077	2.2	2.8	FALSE
6078	2.8	3.4	FALSE
6079	3.0	4.0	FALSE
6088	1.0	1.3333333333333300	FALSE
6089	2.0	4.0	FALSE
6111	1.8	2.6	FALSE
6118	2.4	2.8	FALSE
6141	2.8	4.2	FALSE
6150	1.75	1.75	FALSE
6171	1.0	2.6	FALSE
6192	1.8	3.0	FALSE
6212	1.0	1.25	FALSE
6255	3.6	4.4	FALSE
6260	1.2	1.6	FALSE
6265	3.6	4.4	FALSE
6271	1.0	2.0	FALSE
6272	2.75	4.25	FALSE
6274	1.5	3.25	FALSE
6278	3.8	4.8	FALSE
6279	2.2	3.6	FALSE
6284	1.2	2.2	FALSE
6285	1.8	2.2	FALSE
6289	1.0	2.2	FALSE
6306	4.0	5.0	TRUE
6318	3.25	4.25	FALSE
6319	2.625	3.875	FALSE
6335	1.0	1.4	FALSE
6344	4.2	4.0	TRUE
6368	1.4	2.2	FALSE
6370	3.8	4.0	FALSE
6378	1.8	2.6	FALSE
6383	2.4	2.8	FALSE
6394	1.2	3.0	FALSE
6403	2.8	3.6	FALSE
6420	1.0	2.8	FALSE
6425	1.2	2.0	FALSE
6437	1.5	3.2	FALSE
6438	1.2	1.6	FALSE
6441	1.0	1.6	FALSE
6455	1.2	3.6	FALSE
6465	2.6	3.6	FALSE
6472	3.2	4.2	FALSE
6480	1.6	3.6	FALSE
6506	2.0	3.8	FALSE
6509	4.8	4.8	TRUE
6577	3.2	3.6	FALSE
6579	1.0	1.5	FALSE
6601	3.2	4.6	FALSE
6617	2.0	1.8	FALSE
6629	1.2	2.2	FALSE
6635	3.0	3.8	FALSE
6639	1.0	2.75	FALSE
6642	1.6	2.8	FALSE
6651	3.4	4.0	FALSE
6662	1.0	2.25	FALSE
6665	1.0	3.0	FALSE
6671	4.2	5.0	TRUE
6672	4.6	4.8	TRUE
6691	1.6	2.6	FALSE
6712	3.5	3.5	FALSE
6740	4.0	4.8	TRUE
6741	4.4	5.0	TRUE
6746	1.0	1.8	FALSE
6753	3.5	4.4	FALSE
6781	1.0	2.6	FALSE
6803	2.6	3.2	FALSE
6804	1.2	2.6	FALSE
6805	1.8	2.6	FALSE
6819	2.0	3.8	FALSE
6842	2.0	3.6	FALSE
6843	1.6	3.2	FALSE
6848	1.0	2.6	FALSE
6854	1.2	1.6	FALSE
6859	1.6	3.8	FALSE
6861	1.0	2.0	FALSE
6867	2.0	2.8	FALSE
6887	2.2	3.2	FALSE
6889	1.2	3.0	FALSE
6897	3.8	4.0	FALSE
6898	2.8	3.6	FALSE
6913	2.2	3.2	FALSE
6914	1.8	3.4	FALSE
6923	3.4	4.4	FALSE
6933	2.4	4.4	FALSE
6937	4.0	4.4	TRUE
6938	2.6	4.4	FALSE
6941	2.4	3.6	FALSE
6949	2.0	3.8	FALSE
6958	2.0	2.6	FALSE
6994	2.9	3.9	FALSE
6999	2.6	3.2	FALSE
7005	2.0	2.2	FALSE
7012	1.8	2.6	FALSE
7027	1.3333333333333300	1.6666666666666700	FALSE
7060	4.6	4.666666666666670	TRUE
7076	4.333333333333330	3.6666666666666700	FALSE
7085	4.4	4.4	TRUE
7086	3.8	4.8	FALSE
7096	1.6	2.6	FALSE
7113	2.0	2.0	FALSE
7128	2.2	3.8	FALSE
7141	3.8	5.0	FALSE
7148	2.9	4.2	FALSE
7156	3.4	4.2	FALSE
7168	1.2	3.2	FALSE
7232	1.4	2.2	FALSE
7243	3.2	4.0	FALSE
7244	3.0	3.0	FALSE
7293	1.8	2.8	FALSE
7295	2.6	3.2	FALSE
7297	1.2	2.0	FALSE
7311	2.555555555555560	3.7777777777777800	FALSE
7324	1.4	2.2	FALSE
7336	2.4	3.0	FALSE
7337	1.8	3.0	FALSE
7370	1.5	2.25	FALSE
7371	1.0	1.0	FALSE
7372	4.266666666666670	4.666666666666670	TRUE
7373	4.4	4.4	TRUE
7378	1.6	1.8	FALSE
7403	3.0	3.0	FALSE
7405	1.75	3.0	FALSE
7419	1.3333333333333300	3.6666666666666700	FALSE
7427	1.0	1.0	FALSE
7449	2.25	3.75	FALSE
7476	2.0	2.6	FALSE
7502	1.25	3.75	FALSE
7529	1.6	2.2	FALSE
7548	1.8	3.2	FALSE
7554	2.0	3.8	FALSE
7573	5.0	5.0	TRUE
7576	2.0	2.4	FALSE
7616	1.4	2.6	FALSE
7631	3.0	4.0	FALSE
7641	3.6	4.2	FALSE
7724	3.6	3.6	FALSE
7731	1.25	3.0	FALSE
7747	1.2	4.0	FALSE
7752	3.8	4.4	FALSE
7753	1.7777777777777800	3.0	FALSE
7754	1.8	2.4	FALSE
7761	1.0	2.6	FALSE
7791	1.75	2.25	FALSE
7801	1.8	2.4	FALSE
7834	2.5	3.25	FALSE
7856	1.6	2.8	FALSE
7871	2.8	3.0	FALSE
7879	1.25	2.5	FALSE
7888	1.2	2.2	FALSE
7902	3.2	4.7	FALSE
7937	1.0	1.4	FALSE
7948	3.8	4.133333333333330	FALSE
7949	3.4	4.0	FALSE
7960	1.6	2.0	FALSE
7975	1.8	2.0	FALSE
7978	1.2	3.0	FALSE
8019	1.6	3.4	FALSE
8033	3.0	4.2	FALSE
8039	3.6	4.4	FALSE
8040	2.6	3.4	FALSE
8065	1.6	3.4	FALSE
8078	3.6	4.4	FALSE
8087	3.0	3.8	FALSE
8116	3.0	3.4	FALSE
8126	1.4	3.2	FALSE
8129	1.4	3.4	FALSE
8134	2.2	3.4	FALSE
8135	2.8666666666666700	4.266666666666670	FALSE
8142	2.0	3.8	FALSE
8143	2.4	4.4	FALSE
8154	1.6	2.466666666666670	FALSE
8162	4.8	4.8	TRUE
8165	4.4	4.8	TRUE
8170	3.4	4.2	FALSE
8173	3.1	4.5	FALSE
8260	1.4	2.2	FALSE
8261	2.2	3.4	FALSE
8291	1.5	1.9285714285714300	FALSE
8295	3.2	4.8	FALSE
8303	4.4	4.6	TRUE
8314	3.0	3.7	FALSE
8315	2.6	3.0	FALSE
8358	3.6	4.4	FALSE
8359	4.8	4.8	TRUE
8365	2.2	3.0	FALSE
8367	2.2	3.2	FALSE
8372	1.0	1.4	FALSE
8380	1.0	2.0	FALSE
8391	1.8	2.4	FALSE
8395	4.2	4.4	TRUE
8411	1.4	1.6	FALSE
8414	1.4	2.8	FALSE
8428	1.0	3.0	FALSE
8460	2.0	2.8	FALSE
8462	1.6	2.2	FALSE
8463	3.25	4.0	FALSE
8475	1.8	3.2	FALSE
8476	3.2	3.6	FALSE
8484	1.8	2.2	FALSE
8493	1.8	3.0	FALSE
8522	3.8	4.0	FALSE
8523	2.2	3.4	FALSE
8524	1.2	3.2	FALSE
8538	1.0	1.0	FALSE
8541	2.8	3.8	FALSE
8553	1.8	2.8	FALSE
8554	2.4	3.0	FALSE
8555	1.0	1.4	FALSE
8556	4.4	4.4	TRUE
8578	2.6	4.4	FALSE
8580	1.0	1.4	FALSE
8599	4.2	4.4	TRUE
8624	4.0	4.8	TRUE
8631	3.6666666666666700	4.0	FALSE
8639	1.0	1.6666666666666700	FALSE
8640	1.0	2.6666666666666700	FALSE
8643	1.8	2.6	FALSE
8667	2.111111111111110	3.0	FALSE
8681	1.6	2.0	FALSE
8685	1.8	2.8	FALSE
8687	3.6	4.4	FALSE
8689	1.4	2.6	FALSE
8701	1.6	1.4	FALSE
8704	3.4	4.0	FALSE
8705	3.8	4.8	FALSE
8713	4.4	4.6	TRUE
8766	2.6	2.8	FALSE
8767	1.8	3.2	FALSE
8801	1.5	2.75	FALSE
8802	3.8	4.6	FALSE
8806	2.4	2.8	FALSE
8810	2.4	3.7	FALSE
8818	2.6	3.2	FALSE
8826	2.2	3.2	FALSE
8838	3.0	4.0	FALSE
8839	3.2	3.8	FALSE
8843	1.0	1.25	FALSE
8880	4.0	4.6	TRUE
8890	1.2	2.4	FALSE
8936	3.0	3.0	FALSE
8946	3.6	4.6	FALSE
8953	4.2	4.4	TRUE
8954	3.8	4.7	FALSE
8958	1.6	2.0	FALSE
8963	2.0	2.8	FALSE
8980	3.0	3.6	FALSE
8981	2.6	3.8	FALSE
8991	2.8	3.8	FALSE
8994	4.5	4.75	TRUE
8998	1.0	1.0	FALSE
9002	2.0	3.0	FALSE
9003	1.25	2.0	FALSE
9014	2.4	3.2	FALSE
9040	1.4	1.4	FALSE
9069	4.5	4.7	TRUE
9098	4.2	4.6	TRUE
9122	1.4	2.8	FALSE
9146	3.75	4.75	FALSE
9156	1.5	3.5	FALSE
9172	2.2	3.0	FALSE
9183	1.0	1.4	FALSE
9197	2.8	3.0	FALSE
9205	1.0	2.4	FALSE
9219	1.0	1.0	FALSE
9223	1.0	1.2	FALSE
9255	1.6	2.6	FALSE
9271	1.2	3.0	FALSE
9334	2.8	4.2	FALSE
9335	4.0	4.6	TRUE
9355	4.0	5.0	TRUE
9367	1.4	4.0	FALSE
9400	3.3	3.9	FALSE
9404	4.4	4.6	TRUE
9405	2.8	3.0	FALSE
9438	1.0	2.6	FALSE
9483	3.2	3.4	FALSE
9487	1.2	3.4	FALSE
9519	1.0	2.4	FALSE
9520	1.2857142857142900	2.357142857142860	FALSE
9533	2.4	4.0	FALSE
9560	1.8	3.4	FALSE
9565	3.6	4.4	FALSE
9566	2.0	2.4	FALSE
9585	1.8	2.8	FALSE
9588	4.3	4.4	TRUE
9615	3.8	4.0	FALSE
9618	1.25	1.5	FALSE
9633	1.6	2.6	FALSE
9640	1.0	2.25	FALSE
9649	1.8	2.6	FALSE
9667	1.6	2.4	FALSE
9681	3.0	4.2	FALSE
9684	2.4	3.4	FALSE
9687	1.0	1.0	FALSE
9695	1.0	1.0	FALSE
9702	1.2	3.0	FALSE
9703	1.3333333333333300	2.066666666666670	FALSE
9704	1.2222222222222200	1.3333333333333300	FALSE
9711	1.0	1.4	FALSE
9729	1.6	3.4	FALSE
9761	2.4	3.6	FALSE
9767	2.0	4.0	FALSE
9789	1.8888888888888900	3.6666666666666700	FALSE
9839	4.2	4.0	TRUE
9842	2.0	3.0	FALSE
9849	4.8	4.8	TRUE
9857	2.6	2.8	FALSE
9863	1.2	1.8	FALSE
9873	3.4	4.4	FALSE
9874	2.8	3.0	FALSE
9895	1.6666666666666700	3.6666666666666700	FALSE
9899	3.6	4.4	FALSE
9905	3.4	3.8	FALSE
9906	4.0	5.0	TRUE
9907	4.1	4.6	TRUE
9932	3.2	3.8	FALSE
9939	1.2	2.6	FALSE
9987	1.6	2.4	FALSE
10008	1.25	2.0	FALSE
10017	1.0	1.6	FALSE
10019	1.0	2.0	FALSE
10038	1.8	3.4	FALSE
10041	4.2	5.0	TRUE
10042	4.8	4.8	TRUE
10053	4.6	4.6	TRUE
10063	1.2	2.0	FALSE
10097	2.2	1.8	FALSE
10099	3.8	4.6	FALSE
10129	2.6	4.2	FALSE
10157	2.0	2.0	FALSE
10160	1.8	2.6	FALSE
10161	1.0	1.2	FALSE
10202	1.8	3.6	FALSE
10204	2.2	3.8	FALSE
10209	4.4	4.6	TRUE
10213	1.6	1.8	FALSE
10214	1.2	2.6	FALSE
10216	1.625	2.75	FALSE
10217	2.2	2.0	FALSE
10248	2.0	2.8	FALSE
10290	4.6	4.6	TRUE
10308	1.0	1.0	FALSE
10309	1.4	3.2	FALSE
10359	1.8	4.0	FALSE
10364	1.4	2.4	FALSE
10365	1.6153846153846200	2.3846153846153800	FALSE
10370	1.7142857142857100	3.142857142857140	FALSE
10371	1.6	2.4	FALSE
10377	1.4	2.2	FALSE
10380	1.2	1.2	FALSE
10390	3.4	3.8	FALSE
10402	1.4	1.4	FALSE
10403	1.4	2.6	FALSE
10424	1.2	2.8	FALSE
10425	4.0	4.6	TRUE
10427	2.2	2.8	FALSE
10434	4.0	4.2	TRUE
10436	2.0	3.25	FALSE
10472	1.2	2.4	FALSE
10473	1.9	3.0	FALSE
10483	1.2	2.6	FALSE
10485	3.2	3.8	FALSE
10511	2.2	2.6	FALSE
10512	2.0	3.2	FALSE
10549	3.0	3.0	FALSE
10565	2.6	4.2	FALSE
10574	4.25	4.25	TRUE
10587	1.2	1.6	FALSE
10614	2.0	3.0	FALSE
10630	3.8	4.6	FALSE
10635	2.8	3.0	FALSE
10639	2.4	3.2	FALSE
10665	1.4	3.0	FALSE
10669	3.8	4.4	FALSE
10670	3.4	4.6	FALSE
10696	1.8	2.2	FALSE
10729	3.2	4.4	FALSE
10730	2.4	2.4	FALSE
10748	1.0	2.0	FALSE
10758	1.25	2.75	FALSE
10760	1.2	3.4	FALSE
10765	2.4	3.2	FALSE
10860	2.6	3.6	FALSE
10923	1.6	2.8	FALSE
10947	2.0	2.8	FALSE
10959	2.0	4.6	FALSE
11032	2.8	3.8	FALSE
11034	2.2857142857142900	4.285714285714290	FALSE
11085	3.0	2.8	FALSE
11087	1.4	1.4	FALSE
11097	1.6	2.6	FALSE
11099	1.0	1.2	FALSE
11102	1.8	2.0	FALSE
11103	4.8	5.0	TRUE
11104	4.6	5.0	TRUE
11122	1.75	1.75	FALSE
11161	3.2	4.2	FALSE
11162	3.0	4.2	FALSE
11168	1.5	3.071428571428570	FALSE
11204	4.4	3.8	FALSE
11220	1.8	2.0	FALSE
11233	1.0	1.4	FALSE
11243	2.8	4.0	FALSE
11250	1.6	3.0	FALSE
11252	3.4	3.8	FALSE
11274	1.0	1.0	FALSE
11284	1.8	3.0	FALSE
11286	1.8	3.8	FALSE
11298	2.2	2.6	FALSE
11301	4.6	5.0	TRUE
11310	1.8	3.6	FALSE
11323	4.4	4.6	TRUE
11324	3.8	4.6	FALSE
11341	1.6	2.8	FALSE
11343	1.25	2.5	FALSE
11382	4.466666666666670	4.6	TRUE
11392	1.8571428571428600	3.6666666666666700	FALSE
11398	1.0	1.6	FALSE
11408	1.2	3.0	FALSE
11432	1.4	2.0	FALSE
11434	3.68	4.48	FALSE
11435	4.4	4.4	TRUE
11446	2.2	2.8	FALSE
11453	1.0	2.4	FALSE
